playerID,Years_Batted,totGB,totRB,totHB,tot2B,tot3B,totHRB,totSOB,Years_Pitched,totGP,totRP,totHP,totW,totL,totHRP,totSOP,totIPOuts,totER,totBB,Years_Fielded,totGF,totA,totPO,totE,totDP,totPB,totCS,totInnOuts,totSB,debut,finalGame,deathYear,inducted
lolicmi01,16,597,65,93,5,2,1,369,16,591,1546,3400,220,192,350,2863,11053,1398,1110,16,591,454,102,38,16,0,1,11053,4,1963-05-12,1979-09-23,,0
torremi01,18,503,24,64,8,1,0,135,18,498,1513,3070,187,161,225,1424,9219,1350,1381,18,498,476,226,41,38,0,0,9217,0,1967-09-10,1984-07-27,,0
hornebo01,10,1023,560,1048,169,8,218,514,0,0,0,0,0,0,0,0,0,0,0,10,1017,1447,3642,117,418,0,0,25539,0,1978-06-16,1988-06-18,,0
kennete02,14,1510,479,1326,246,12,114,866,0,0,0,0,0,0,0,0,0,0,0,14,1450,646,6861,109,108,68,478,35104,1051,1978-09-04,1991-10-06,,0
burksel01,18,2025,1267,2133,409,63,355,1355,0,0,0,0,0,0,0,0,0,0,0,17,1632,82,3476,61,13,0,0,40772,0,1987-04-30,2004-10-02,,0
nehfar01,15,476,91,196,29,5,8,129,15,463,1187,2765,188,124,109,872,8360,983,672,15,467,768,145,24,49,0,5,237,7,1915-08-13,1929-10-03,1960,0
schreos01,11,898,306,831,137,31,9,0,0,0,0,0,0,0,0,0,0,0,0,11,858,999,5287,194,104,84,2,69,8,1897-09-08,1908-10-02,1914,0
derripa01,15,590,70,221,30,3,2,221,15,590,1678,3957,225,216,161,1537,11093,1421,788,15,590,663,155,26,31,0,0,158,0,1931-04-16,1945-09-27,1987,0
coopewa01,18,1489,578,1359,243,41,173,361,0,0,0,0,0,0,0,0,0,0,0,18,1239,594,5273,141,80,80,12,2802,27,1940-09-25,1957-09-20,1991,0
torboje01,10,574,78,297,42,3,8,189,0,0,0,0,0,0,0,0,0,0,0,10,559,214,2998,32,31,31,123,11785,219,1964-05-10,1973-09-29,,0
murreiv01,10,564,126,308,41,15,33,342,0,0,0,0,0,0,0,0,0,0,0,10,383,42,921,25,33,0,0,8106,0,1963-09-28,1974-10-02,2006,0
richepe01,13,450,21,43,5,1,1,129,13,433,463,959,80,73,116,928,3503,413,426,13,433,168,53,19,14,0,0,3503,1,1962-04-12,1974-09-02,,0
johnsde01,16,1775,706,1451,248,33,245,1328,0,0,0,0,0,0,0,0,0,0,0,16,1463,975,7046,104,629,0,0,33926,0,1960-09-20,1976-05-28,1992,0
powelbo01,17,2075,906,1809,274,11,345,1243,0,0,0,0,0,0,0,0,0,0,0,17,1943,893,13074,135,1152,0,0,48180,0,1961-09-26,1977-08-24,,0
mayca01,10,1172,546,1129,173,23,90,570,0,0,0,0,0,0,0,0,0,0,0,10,888,193,2920,45,157,0,0,22686,0,1968-09-06,1977-10-02,,0
richajr01,10,239,39,93,10,3,10,181,10,238,625,1227,107,71,73,1493,4818,562,770,10,238,195,113,20,6,0,0,4817,0,1971-09-05,1980-07-14,,0
koosmje01,19,619,38,112,13,1,2,427,19,619,1626,3667,226,209,294,2587,11639,1450,1215,19,619,586,116,43,36,0,0,11639,1,1967-04-14,1985-08-21,,0
hernake01,17,2118,1137,2213,429,61,164,1031,0,0,0,0,0,0,0,0,0,0,0,17,2051,1709,18185,119,1676,0,0,52787,0,1974-08-30,1990-07-24,,0
dihigma99,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,0,0,0,1
martipe02,18,493,22,43,6,2,0,192,18,492,1043,2295,225,104,249,3250,8771,956,790,18,493,270,165,24,11,0,0,8771,0,1992-09-24,2009-09-30,,1
